GP,absref,relmyo,myolevel,Eye,Region,ROI,Layer,c,K,rho,alpha,Z
11-3,7.13,3.21,LM,RE,INF,2.2,4,1530.983895,2.546870339,1.051575237,1.553E-06,1.618643116
11-3,7.13,3.21,LM,RE,INF,2.8,1,1498.071788,2.413018286,1.060646626,1.51134E-06,1.598645422
11-3,7.13,3.21,LM,RE,INF,2.8,2,1604.029021,2.639973728,1.019559246,8.27301E-06,1.634515072
11-3,7.13,3.21,LM,RE,INF,2.8,3,1762.505519,3.018808456,0.984065837,9.74327E-06,1.714965213
11-3,7.13,3.21,LM,RE,INF,2.8,4,1758.88128,2.990947169,0.98274784,8.49089E-06,1.699129175
11-3,7.13,3.21,LM,RE,INF,3,1,1651.295265,2.84170612,1.036409859,7.31504E-06,1.714980154
11-3,7.13,3.21,LM,RE,INF,3,2,1786.654685,3.144292038,0.990807613,9.47836E-06,1.765268556
11-3,7.13,3.21,LM,RE,INF,3,3,1728.789502,2.866611304,0.973830217,1.09618E-05,1.655085755
11-3,7.13,3.21,LM,RE,INF,3,4,1605.842159,2.556476902,0.99331634,4.96774E-06,1.590808246
11-3,7.13,3.21,LM,RE,INF,3.2,1,1765.779525,3.074316648,0.990380434,8.01301E-06,1.742271845
11-3,7.13,3.21,LM,RE,INF,3.2,2,1744.212932,2.910465953,0.972390769,9.20654E-06,1.666995829
11-3,7.13,3.21,LM,RE,INF,3.2,3,1581.356184,2.575182263,1.022654538,7.45436E-06,1.622506828
11-3,7.13,3.21,LM,RE,INF,3.2,4,1611.295745,2.555026611,0.985404035,1.2255E-06,1.580335279
11-3,7.13,3.21,LM,RE,INF,3.4,1,1742.283959,2.962138507,0.998065485,9.6346E-06,1.696926788
11-3,7.13,3.21,LM,RE,INF,3.4,2,1767.299724,2.982022479,0.967102251,1.16771E-05,1.685979719
11-3,7.13,3.21,LM,RE,INF,3.4,3,1643.989622,2.702004556,0.995798085,9.31309E-06,1.635336057
11-3,7.13,3.21,LM,RE,INF,3.4,4,1626.427736,2.658345338,0.995726154,3.75428E-06,1.618410503
11-3,7.13,3.21,LM,RE,INF,3.6,1,1494.544397,2.419974135,1.047499597,1.30594E-06,1.587123066
11-3,7.13,3.21,LM,RE,INF,3.6,2,1522.749558,2.553844686,1.072512458,4.83653E-06,1.661348558
11-3,7.13,3.21,LM,RE,INF,3.6,3,1743.722085,3.056653507,1.004494783,9.66787E-06,1.752640099
11-3,7.13,3.21,LM,RE,INF,3.6,4,1798.106648,3.123296402,0.982979955,1.10916E-05,1.735268061
11-3,7.13,3.21,LM,RE,INF,3.8,1,1495.079782,2.469331538,1.074846957,4.14163E-06,1.6340815
11-3,7.13,3.21,LM,RE,INF,3.8,2,1685.159195,2.952535902,1.0242021,8.17446E-06,1.750545623
11-3,7.13,3.21,LM,RE,INF,3.8,3,1769.593648,3.239910607,1.041494563,7.93052E-06,1.844138732
11-3,7.13,3.21,LM,RE,INF,3.8,4,1729.470624,2.902615316,0.977943574,1.21421E-05,1.683082295
11-3,7.13,3.21,LM,RE,INF,4,1,1488.161696,2.530982888,1.132471852,6.12185E-07,1.700717408
11-3,7.13,3.21,LM,RE,INF,4,2,1555.77431,2.704533055,1.062960224,7.88265E-06,1.738568347
11-3,7.13,3.21,LM,RE,INF,4,3,1653.500372,2.881534094,1.018240049,9.49579E-06,1.740681178
11-3,7.13,3.21,LM,RE,INF,4,4,1731.716552,3.057655806,1.020617926,1.04742E-05,1.765341981
11-3,7.13,3.21,LM,RE,INF,4.2,1,1592.713986,2.707165428,1.018953752,1.10923E-05,1.709816001
11-3,7.13,3.21,LM,RE,INF,4.2,2,1679.316759,2.896837886,1.027748892,1.95396E-05,1.728436135
11-3,7.13,3.21,LM,RE,INF,4.2,3,1569.893843,2.578346549,1.045768733,1.61289E-05,1.639980918
11-3,7.13,3.21,LM,RE,INF,2,1,1525.880684,2.486453615,1.075696866,1.36043E-05,1.629118739
11-3,7.13,3.21,LM,RE,INF,2,2,1775.020331,2.834599832,0.968709882,1.19632E-05,1.597587544
11-3,7.13,3.21,LM,RE,INF,2,3,1657.568091,2.781455063,1.01773993,1.34952E-05,1.67725385
11-3,7.13,3.21,LM,RE,INF,2,4,1520.419683,2.493510241,1.070061306,8.2815E-06,1.628463086
11-3,7.13,3.21,LM,RE,INF,2.2,1,1557.609854,2.672067123,1.078905934,1.40042E-05,1.712116767
11-3,7.13,3.21,LM,RE,INF,2.2,2,1725.591495,2.964224053,1.005157629,1.34769E-05,1.714876373
11-3,7.13,3.21,LM,RE,INF,2.2,3,1679.715579,2.889257228,1.023329273,1.6378E-05,1.717933203
11-3,7.13,3.21,LM,RE,INF,2.2,4,1560.73096,2.603359823,1.062593358,1.00539E-05,1.658101798
11-3,7.13,3.21,LM,RE,INF,2.4,1,1524.053922,2.449148005,1.054044414,1.32035E-05,1.605297032
11-3,7.13,3.21,LM,RE,INF,2.4,2,1623.929094,2.661498539,1.020362141,1.59308E-05,1.635997115
11-3,7.13,3.21,LM,RE,INF,2.4,3,1667.209468,2.927871363,1.053176165,1.45543E-05,1.754760361
11-3,7.13,3.21,LM,RE,INF,2.4,4,1533.580197,2.562842443,1.079239837,1.23432E-05,1.657077488
11-3,7.13,3.21,LM,RE,INF,1.2,1,1579.352534,2.69621393,1.099397847,9.75602E-06,1.741061828
11-3,7.13,3.21,LM,RE,INF,1.2,2,1758.623836,3.260617361,1.060330371,1.09671E-05,1.864080356
11-3,7.13,3.21,LM,RE,INF,1.2,3,1588.985124,2.650935462,1.044528102,1.00655E-05,1.664396179
11-3,7.13,3.21,LM,RE,INF,1.2,4,1503.364279,2.405303629,1.051038964,5.74746E-06,1.588246851
11-3,7.13,3.21,LM,RE,INF,1.4,1,1518.23326,2.650633549,1.125481148,5.95619E-06,1.758248512
11-3,7.13,3.21,LM,RE,INF,1.4,2,1772.276158,3.31183931,1.073035115,9.53299E-06,1.90324041
11-3,7.13,3.21,LM,RE,INF,1.4,3,1596.473044,2.655548596,1.039861047,1.10972E-05,1.660407898
11-3,7.13,3.21,LM,RE,INF,1.4,4,1521.86259,2.456753933,1.047995684,5.77733E-06,1.596937468
11-3,7.13,3.21,LM,RE,INF,1.6,1,1631.520797,2.901979707,1.042411624,5.65103E-06,1.832135885
11-3,7.13,3.21,LM,RE,INF,1.6,2,1813.868953,3.362391113,1.054688163,6.66253E-06,1.914574311
11-3,7.13,3.21,LM,RE,INF,1.6,3,1619.088193,2.719586649,1.037096057,1.13394E-05,1.680442387
11-3,7.13,3.21,LM,RE,INF,1.6,4,1541.17084,2.476294829,1.032367665,5.5609E-06,1.592317428
12-1,6.96,0,EM,LE,INF,2.6,1,1621.407224,2.531197509,0.989001987,7.05888E-06,1.55662801
12-1,6.96,0,EM,LE,INF,2.6,2,1799.885493,2.869761713,0.944518665,1.16544E-05,1.594938625
12-1,6.96,0,EM,LE,INF,2.6,3,1783.541427,2.972017111,0.95554238,1.22017E-05,1.669400456
12-1,6.96,0,EM,LE,INF,2.6,4,1585.845482,2.526485563,1.003130228,6.05315E-06,1.590767222
12-1,6.96,0,EM,LE,INF,2.8,1,1586.09647,2.52925227,1.008205394,6.74991E-06,1.588996915
12-1,6.96,0,EM,LE,INF,2.8,2,1785.981292,2.857129533,0.940461135,1.10354E-05,1.596642633
12-1,6.96,0,EM,LE,INF,2.8,3,1804.216822,3.03456367,0.95492533,1.24833E-05,1.683143651
12-1,6.96,0,EM,LE,INF,2.8,4,1597.45467,2.542187066,0.996247785,6.06939E-06,1.589316429
12-1,6.96,0,EM,LE,INF,3,1,1587.841778,2.520291822,1.007281259,5.67135E-06,1.585140356
12-1,6.96,0,EM,LE,INF,3,2,1806.773068,2.919427333,0.956140404,1.2798E-05,1.615486804
12-1,6.96,0,EM,LE,INF,3,3,1776.649578,2.954701969,0.957541728,1.07041E-05,1.660026217
12-1,6.96,0,EM,LE,INF,3,4,1612.938952,2.60258803,0.99947074,6.5889E-06,1.612192429
12-1,6.96,0,EM,LE,INF,3.2,1,1579.307644,2.555394205,1.013013427,7.6895E-06,1.59327069
12-1,6.96,0,EM,LE,INF,3.2,2,1851.458019,3.096495027,0.952181656,1.34123E-05,1.701182309
12-1,6.96,0,EM,LE,INF,3.2,3,1739.045336,2.817358215,0.948665879,1.12845E-05,1.617710206
12-1,6.96,0,EM,LE,INF,3.2,4,1582.989739,2.564810391,1.023178945,6.85944E-06,1.618964859
12-1,6.96,0,EM,LE,INF,3.4,1,1555.739558,2.492082902,1.023330244,7.90559E-06,1.588141785
12-1,6.96,0,EM,LE,INF,3.4,2,1775.277894,2.978512022,0.962904966,1.37197E-05,1.676931296
12-1,6.96,0,EM,LE,INF,3.4,3,1695.593893,2.744569994,0.959345961,1.14978E-05,1.617109116
12-1,6.96,0,EM,LE,INF,3.4,4,1552.398562,2.461580896,1.016542357,5.64969E-06,1.578303202
12-1,6.96,0,EM,LE,INF,3.6,1,1536.400098,2.525239153,1.062599517,6.55708E-06,1.634675759
12-1,6.96,0,EM,LE,INF,3.6,2,1768.080531,3.003064114,0.967564889,1.30541E-05,1.696629455
12-1,6.96,0,EM,LE,INF,3.6,3,1718.8009,2.793100218,0.958860156,1.24359E-05,1.622484881
12-1,6.96,0,EM,LE,INF,3.6,4,1534.517402,2.453508667,1.033045295,5.73339E-06,1.586274768
12-1,6.96,0,EM,LE,INF,3.8,1,1620.246759,2.750812826,1.056323303,1.06119E-05,1.720056671
12-1,6.96,0,EM,LE,INF,3.8,2,1761.042177,2.988732527,0.975055016,1.46573E-05,1.701278102
12-1,6.96,0,EM,LE,INF,3.8,3,1678.346977,2.733818745,0.97261517,1.21063E-05,1.626109862
12-1,6.96,0,EM,LE,INF,3.8,4,1505.206332,2.42278762,1.05876553,7.6712E-06,1.596371473
12-1,6.96,0,EM,LE,INF,4,1,1716.67132,2.886872312,1.00424112,1.42746E-05,1.695135653
12-1,6.96,0,EM,LE,INF,4,2,1707.3994,2.934858755,1.008863511,1.40867E-05,1.717098284
12-1,6.96,0,EM,LE,INF,4,3,1634.620071,2.649308627,0.990599555,1.1619E-05,1.618350855
12-1,6.96,0,EM,LE,INF,4,4,1494.359373,2.406605428,1.070358822,8.56396E-06,1.601426044
12-1,6.96,0,EM,LE,INF,4.2,1,1752.388929,3.083391188,0.999858294,1.28101E-05,1.766892015
12-1,6.96,0,EM,LE,INF,4.2,2,1697.093846,2.874891181,0.998436672,1.29773E-05,1.691891113
12-1,6.96,0,EM,LE,INF,4.2,3,1647.082961,2.681743205,0.988758462,1.02955E-05,1.626927276
12-1,6.96,0,EM,LE,INF,4.2,4,1504.668037,2.396094921,1.0511468,9.62823E-06,1.581402953
12-1,6.96,0,EM,LE,INF,4.4,1,1719.580273,2.954498743,1.010242356,1.1283E-05,1.731300356
12-1,6.96,0,EM,LE,INF,4.4,2,1692.52785,2.878833505,1.004849802,1.16408E-05,1.69980819
12-1,6.96,0,EM,LE,INF,4.4,3,1616.34065,2.601728747,0.995797095,9.53681E-06,1.607594348
12-1,6.96,0,EM,LE,INF,4.4,4,1509.53789,2.399432866,1.041664321,8.54054E-06,1.580025621
12-1,6.96,0,EM,LE,INF,4.6,1,1692.191234,2.767991552,0.979936982,1.26519E-05,1.641166601
12-1,6.96,0,EM,LE,INF,4.6,2,1680.647892,2.76102649,0.97852211,1.21312E-05,1.641965718
12-1,6.96,0,EM,LE,INF,4.6,3,1605.033596,2.60845613,1.012120433,8.2497E-06,1.623716789
12-1,6.96,0,EM,LE,INF,4.6,4,1523.448405,2.448188058,1.052610025,1.08759E-05,1.604108355
12-1,6.96,0,EM,LE,INF,4.8,1,1751.954043,3.02958434,0.997380484,8.52943E-06,1.732798386
12-1,6.96,0,EM,LE,INF,4.8,2,1709.216813,2.916587654,0.997776294,1.3141E-05,1.705379634
12-1,6.96,0,EM,LE,INF,4.8,3,1605.662776,2.60284475,1.009221262,8.9325E-06,1.619778391
12-1,6.96,0,EM,LE,INF,4.8,4,1499.00403,2.420689864,1.068176405,9.29441E-06,1.601357487
12-1,6.96,0,EM,LE,SUP,3,1,1608.350544,2.602327329,0.999913731,1.03377E-05,1.601956303
12-1,6.96,0,EM,LE,SUP,3,2,1727.81685,2.803363066,0.953936688,1.41495E-05,1.620986884
12-1,6.96,0,EM,LE,SUP,3,3,1801.163676,3.047141228,0.961759148,1.33865E-05,1.689102906
12-1,6.96,0,EM,LE,SUP,3,4,1605.971747,2.548909791,0.988914097,7.29256E-06,1.58464759
12-1,6.96,0,EM,LE,SUP,3.2,1,1544.344961,2.565659916,1.067711991,4.26972E-06,1.652777339
12-1,6.96,0,EM,LE,SUP,3.2,2,1776.292053,3.032692252,0.967725559,1.24326E-05,1.706193238
12-1,6.96,0,EM,LE,SUP,3.2,3,1647.517834,2.651866764,0.979196846,1.15839E-05,1.608268833
12-1,6.96,0,EM,LE,SUP,3.2,4,1570.739017,2.474146121,1.002557455,5.88996E-06,1.574921011
12-1,6.96,0,EM,LE,SUP,3.4,1,1570.902161,2.59541722,1.056117825,8.03503E-06,1.652511485
