GP,Eye,Region,ROI,Layer,Z,K,alpha,c,rho
11-3,RE,INF,1.6,1,1.832135885,2.901979707,5.65103E-06,1631.520797,1.042411624
11-3,RE,INF,1.6,2,1.914574311,3.362391113,6.66253E-06,1813.868953,1.054688163
11-3,RE,INF,1.6,3,1.680442387,2.719586649,1.13394E-05,1619.088193,1.037096057
11-3,RE,INF,1.6,4,1.592317428,2.476294829,5.5609E-06,1541.17084,1.032367665
12-1,LE,INF,2.6,1,1.55662801,2.531197509,7.05888E-06,1621.407224,0.989001987
12-1,LE,INF,2.6,2,1.594938625,2.869761713,1.16544E-05,1799.885493,0.944518665
12-1,LE,INF,2.6,3,1.669400456,2.972017111,1.22017E-05,1783.541427,0.95554238
12-1,LE,INF,2.6,4,1.590767222,2.526485563,6.05315E-06,1585.845482,1.003130228
12-1,LE,INF,2.8,1,1.588996915,2.52925227,6.74991E-06,1586.09647,1.008205394
12-1,LE,INF,2.8,2,1.596642633,2.857129533,1.10354E-05,1785.981292,0.940461135
12-1,LE,INF,2.8,3,1.683143651,3.03456367,1.24833E-05,1804.216822,0.95492533
12-1,LE,INF,2.8,4,1.589316429,2.542187066,6.06939E-06,1597.45467,0.996247785
12-1,LE,INF,3,1,1.585140356,2.520291822,5.67135E-06,1587.841778,1.007281259
12-1,LE,INF,3,2,1.615486804,2.919427333,1.2798E-05,1806.773068,0.956140404
12-1,LE,INF,3,3,1.660026217,2.954701969,1.07041E-05,1776.649578,0.957541728
12-1,LE,INF,3,4,1.612192429,2.60258803,6.5889E-06,1612.938952,0.99947074
12-1,LE,INF,3.2,1,1.59327069,2.555394205,7.6895E-06,1579.307644,1.013013427
12-1,LE,INF,3.2,2,1.701182309,3.096495027,1.34123E-05,1851.458019,0.952181656
12-1,LE,INF,3.2,3,1.617710206,2.817358215,1.12845E-05,1739.045336,0.948665879
12-1,LE,INF,3.2,4,1.618964859,2.564810391,6.85944E-06,1582.989739,1.023178945
12-1,LE,INF,3.4,1,1.588141785,2.492082902,7.90559E-06,1555.739558,1.023330244
12-1,LE,INF,3.4,2,1.676931296,2.978512022,1.37197E-05,1775.277894,0.962904966
12-1,LE,INF,3.4,3,1.617109116,2.744569994,1.14978E-05,1695.593893,0.959345961
12-1,LE,INF,3.4,4,1.578303202,2.461580896,5.64969E-06,1552.398562,1.016542357
12-1,LE,INF,3.6,1,1.634675759,2.525239153,6.55708E-06,1536.400098,1.062599517
12-1,LE,INF,3.6,2,1.696629455,3.003064114,1.30541E-05,1768.080531,0.967564889
12-1,LE,INF,3.6,3,1.622484881,2.793100218,1.24359E-05,1718.8009,0.958860156
12-1,LE,INF,3.6,4,1.586274768,2.453508667,5.73339E-06,1534.517402,1.033045295
12-1,LE,INF,3.8,1,1.720056671,2.750812826,1.06119E-05,1620.246759,1.056323303
12-1,LE,INF,3.8,2,1.701278102,2.988732527,1.46573E-05,1761.042177,0.975055016
12-1,LE,INF,3.8,3,1.626109862,2.733818745,1.21063E-05,1678.346977,0.97261517
12-1,LE,INF,3.8,4,1.596371473,2.42278762,7.6712E-06,1505.206332,1.05876553
12-1,LE,INF,4,1,1.695135653,2.886872312,1.42746E-05,1716.67132,1.00424112
12-1,LE,INF,4,2,1.717098284,2.934858755,1.40867E-05,1707.3994,1.008863511
12-1,LE,INF,4,3,1.618350855,2.649308627,1.1619E-05,1634.620071,0.990599555
12-1,LE,INF,4,4,1.601426044,2.406605428,8.56396E-06,1494.359373,1.070358822
12-1,LE,INF,4.2,1,1.766892015,3.083391188,1.28101E-05,1752.388929,0.999858294
12-1,LE,INF,4.2,2,1.691891113,2.874891181,1.29773E-05,1697.093846,0.998436672
12-1,LE,INF,4.2,3,1.626927276,2.681743205,1.02955E-05,1647.082961,0.988758462
12-1,LE,INF,4.2,4,1.581402953,2.396094921,9.62823E-06,1504.668037,1.0511468
12-1,LE,INF,4.4,1,1.731300356,2.954498743,1.1283E-05,1719.580273,1.010242356
12-1,LE,INF,4.4,2,1.69980819,2.878833505,1.16408E-05,1692.52785,1.004849802
12-1,LE,INF,4.4,3,1.607594348,2.601728747,9.53681E-06,1616.34065,0.995797095
12-1,LE,INF,4.4,4,1.580025621,2.399432866,8.54054E-06,1509.53789,1.041664321
12-1,LE,INF,4.6,1,1.641166601,2.767991552,1.26519E-05,1692.191234,0.979936982
12-1,LE,INF,4.6,2,1.641965718,2.76102649,1.21312E-05,1680.647892,0.97852211
12-1,LE,INF,4.6,3,1.623716789,2.60845613,8.2497E-06,1605.033596,1.012120433
